dong_id,p_i,c_i,K_i,x_obs_i,B_i
11210800,1549.3254,2890.625,34,0.5086750675324677,0.3125
11210810,2507.184,2708.333333333333,11,0.15260252025974033,0.16666666666666666
11210820,1809.400562369734,2500.0,0,0.0,0.0
11210830,2000.04,3000.0,4,0.05086750675324676,0.4
11220510,1866.9539999999997,2656.25,39,0.15260252025974033,0.125
11220520,1719.8490000000002,2864.583333333333,195,0.7630126012987014,0.2916666666666667
11220530,1888.5480000000002,2500.0,135,0.5294845021133414,0.0
11220540,1649.3595,3229.166666666667,26,0.10173501350649353,0.5833333333333334
11220550,1773.648,2500.0,368,1.4457507954124316,0.0
11220560,1809.400562369734,2500.0,0,0.0,0.0
11220570,1828.9986,2833.3333333333335,65,0.25433753376623386,0.26666666666666666
11220580,2167.602,2625.0,52,0.20347002701298705,0.1
11220590,1582.0365,2604.166666666667,78,0.30520504051948066,0.08333333333333333
11220600,1650.5764285714283,2826.086956521739,182,0.7121450945454547,0.2608695652173913
11220610,1474.4040000000002,2552.083333333333,156,0.6104100810389613,0.041666666666666664
11220620,1769.9161251319956,3125.0,0,0.0,0.5
11220630,1556.808,3020.833333333333,39,0.15260252025974033,0.4166666666666667
11220640,1843.1599999999999,3409.0909090909095,117,0.4578075607792209,0.7272727272727273
11220650,1453.0230000000001,2708.333333333333,156,0.6104100810389613,0.16666666666666666
11220660,1760.99145,2531.25,259,1.0173501350649354,0.025
11220670,1727.9864482758621,2668.269230769231,376,1.4751576958441563,0.1346153846153846
11220680,2398.056,3076.923076923077,67,0.26012196844939606,0.46153846153846156
11230510,1579.578,2500.0,601,8.377589678684048,0.0
11230520,1473.1619999999998,3125.0,4,0.05086750675324676,0.5
11230530,1702.842,2656.25,15,0.20347002701298705,0.125
11230580,1701.1319999999998,2890.625,19,0.25433753376623386,0.3125
11230590,1321.3564285714288,2954.5454545454545,26,0.35607254727272736,0.36363636363636365
11230600,1444.5359999999998,2604.166666666667,22,0.30520504051948066,0.08333333333333333
11230630,1861.8990000000001,2500.0,8,0.10173501350649353,0.0
11230640,1939.7299411764707,2732.5581395348836,62,0.864747614805195,0.18604651162790697
11230650,1317.1596,2692.3076923076924,19,0.25433753376623386,0.15384615384615385
11230660,1377.573,2847.222222222222,41,0.5595425742857145,0.2777777777777778
11230670,1634.4262500000002,2571.428571428571,59,0.8138801080519482,0.05714285714285714
11230680,1447.6260000000002,2833.3333333333335,33,0.4578075607792209,0.26666666666666666
11230710,1690.767,2695.3125,66,0.9156151215584418,0.15625
11230720,1700.331,2708.333333333333,11,0.15260252025974033,0.16666666666666666
11230730,1580.1216,3000.0,37,0.5086750675324677,0.4
11230511,1632.3719999999998,2884.6153846153843,15,0.20347002701298705,0.3076923076923077
11230750,2080.3635,2615.740740740741,206,2.8733364362935294,0.09259259259259259
11230760,1937.359875,2636.363636363636,92,1.2732014317087803,0.10909090909090909
11230770,1637.1383999999998,2833.3333333333335,62,0.8636144068409499,0.26666666666666666
11230780,2305.667625,3020.833333333333,856,11.929190290266392,0.4166666666666667
11230790,1740.8628,2633.9285714285716,55,0.7630126012987014,0.10714285714285714
11230800,1465.633,2836.5384615384614,33,0.4578075607792209,0.2692307692307692
11240510,1698.6034736842105,2822.5806451612902,50,0.9664826283116885,0.25806451612903225
11240520,1932.1561499999998,2745.0980392156866,53,1.0173501350649354,0.19607843137254902
11240530,1877.3760000000002,2734.375,16,0.30520504051948066,0.1875
11240540,2905.827,3281.25,3,0.05086750675324676,0.625
11240550,1809.400562369734,2500.0,0,0.0,0.0
11240560,1660.76925,3500.0,11,0.20347002701298705,0.8
11240570,2061.08221875,2727.272727272727,84,1.6277602161038964,0.18181818181818182
11240580,1745.9955,2792.96875,63,1.2208201620779227,0.234375
